patterns,themes
(?:^|[^a-z])cop ?[0-9]+,['climate']
温室効果ガス,['climate']
"[氷河, 融解]","['climate', 'environment']"
"[氷床, 融解]","['climate', 'environment']"
サステナブル建築,['sustainability']
"[低エネルギー, 持続可能]",['energy']
"[生物多様性, 環境]",['environment']
生物圏保存,['environment']
"[生物多様性, 生態系]",['environment']
"[生物多様性, 減少]",['environment']
"[生物気候学, 建設]",['energy']
"[生物気候学, エネルギー]",['energy']
"[気候, 環境, エコロジー]",['environment']
"[エネルギー消費, 環境]",['energy']
"[持続可能, 建設]",['sustainability']
地下水汚染,['environment']
帯水層汚染,['environment']
水質汚染,['environment']
"[破壊, 河川]",['environment']
"[破壊, 海域]",['environment']
"[破壊, 地下水]",['environment']
"[破壊, 水質]",['environment']
"[破壊, 河川]",['environment']
"[破壊, 海域]",['environment']
"[破壊, エコシステム, 環境]",['environment']
環境問題,['sustainability']
持続可能な発展,['sustainability']
"[持続可能, 移動]",['sustainability']
"[持続可能, ライフサイクル]",['sustainability']
"[生態学, 人新世]",['environment']
"[生態学, 気候, 農業]","['climate', 'environment']"
"[生態学, 気候, 土地利用]","['climate', 'environment']"
"[生態学, 気候, 育種]","['climate', 'environment']"
"[生態学, 気候変動]","['environment', 'climate']"
"[生態学, 政策, 環境]",['environment']
エコ事業,['environment']
"[生態学, 耐久性]",['environment']
"[社会経済, 生態学的移行]",['sustainability']
"[社会経済, 社会的変化]",['sustainability']
"[連帯経済, 生態学的移行]",['sustainability']
"[連帯経済, 社会的変化]",['sustainability']
"[生態系, 破壊, 人新世]","['environment', 'resources']"
"[生態系, 汚染]",['environment']
"[生態系, 汚染, 人新世]","['environment', 'resources']"
"[エコシステム, レジリエンス]",['environment']
"[エコシステム, 強靭性]",['environment']
"[生態系, レジリエンス]",['environment']
"[生態系, 強靭性]",['environment']
"[温室効果, 大気]",['climate']
"[温室効果, 気候]",['climate']
"[崩壊, 気候, 環境]",['resources']
"[絶滅, 種類]",['environment']
"[絶滅, 昆虫]",['environment']
"[絶滅, 鳥類]",['environment']
"[電気エネルギー, 貯蔵]",['energy']
グリーン電力,['energy']
自然エネルギー,['energy']
海面上昇,['climate']
"[環境, 汚染, 持続可能]",['sustainability']
"[環境, 持続可能]",['environment']
"[抽出, 影響, 環境]",['resources']
"[環境の管理, 生態学, 影響]",['environment']
"[雪氷学, 気候学, 大気]",['climate']
"[雪氷学, 気候学, モデル]",['climate']
"[雪氷学, 気候学, 熱力学]",['climate']
"[地下水, 影響]",['environment']
"[帯水層, 影響]",['environment']
"[影響, 河川]",['environment']
"[影響, 海域]",['environment']
"[影響, 農薬]",['environment']
"[人類の影響, 生物地球化学的循環]",['climate']
"[産業の影響, 生物地球化学的循環]",['climate']
"[核汚染, 環境]","['energy', 'environment']"
"[エネルギー効率, 持続可能, 環境]",['energy']
海洋プラスチック,['environment']
プラスチック汚染,['environment']
大気汚染,['environment']
"[持続可能なソリューション, 環境]",['sustainability']
"[持続可能なソリューション, 影響]",['sustainability']
"[希土類, 耐久性]",['resources']
"[レアアース, 耐久性]",['resources']
"[希土類, 環境]",['resources']
"[レアアース, 環境]",['resources']
"[希土類, 採掘]",['resources']
"[レアアース, 採掘]",['resources']
"[希土類, 影響]",['resources']
"[レアアース, 影響]",['resources']
パリ協定,['climate']
環境活動,['climate']
トゥーンベリ,['climate']
"[気候変動, 適応]",['climate']
持続可能な凝集,['sustainability']
有機農業,['environment']
持続可能な農業,['sustainability']
農業生態学,['environment']
アグロフォレストリー,['environment']
農業生態学,['environment']
ライフサイクル分析,"['resources', 'sustainability']"
ライフサイクルアセスメント,"['resources', 'sustainability']"
